ID,CLASS,CODE,ONDATE,OFFDATE,ISSYSTEM,BASISON,BASISOFF,LONGDESC,PAYMENTTYPE,DIRECTION,PAYMENTCODE,FEATURE,UPDATED,INCCOUNTRY,INCCOUNTRIESLIST,EXCCOUNTRY,EXCCOUNTRIESLIST
186985,122,829545,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,"Вывозные таможенные пошлины на семена рапса, или кользы, вывозимые с таможенной территории РБ за пределы ЕврАзЭс",2,0.0,3010,,2012-12-22 09:19:31.140,,,,
186986,122,829665,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,"Акцизы, на алкогольную продукцию и спиртосодержащие растворы",3,1.0,4180,,2012-12-22 09:19:31.140,,,,
186987,122,829667,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,Акцизы на пиво,3,1.0,4190,,2012-12-22 09:19:31.140,,,,
186988,122,829669,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,Акцизы на табачные изделия,3,1.0,4200,,2012-12-22 09:19:31.140,,,,
186989,122,829671,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,Акцизы на автомобили,3,1.0,4210,,2012-12-22 09:19:31.140,,,,
186990,122,829673,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,Акцизы на автомобильное и иное используемое в качестве автомобильного топливо,3,1.0,4220,,2012-12-22 09:19:31.140,,,,
186991,122,829675,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,Акцизы на масла моторные,3,1.0,4230,,2012-12-22 09:19:31.140,,,,
186995,122,77153,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,"Перечень продовольственных товаров, по которым применяется ставка НДС в размере 10% при их ввозе на таможенную территорию РБ",4,1.0,5010,,2012-12-22 09:19:31.140,,,,
186996,122,92320,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,"Перечень товаров для детей, по которым применяется ставка НДС в размере 10% при их ввозе на таможенную территорию РБ",4,1.0,5010,,2012-12-22 09:19:31.140,,,,
186997,122,424816,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,"Размеры таможенных сборов за таможенное оформление товаров  и транспортных средств, перемещаемых через таможенную границу Республики Беларусь (кроме товаров не для комерческих целей)",1,,1010,,2012-12-22 09:19:31.140,,,,
187004,122,842415,2011-01-01 00:00:00.000,4712-12-31 00:00:00,1,,,"Ставки вывозных таможенных пошлин на товары, вывозимые с территории РБ за пределы таможенной территории Таможенного союза",2,0.0,3800,,2012-12-22 09:19:31.140,,,,
187020,122,852467,2011-02-07 00:00:00.000,4712-12-31 00:00:00,1,,,"Ставки вывозных таможенных пошлин на кожевенное сырье, вывозимое с территории РБ за пределы государств - членов ЕврАзЭс",2,0.0,3010,,2012-12-22 09:19:31.140,,,,
187065,122,1132859,2013-07-26 00:00:00.000,2016-03-14 00:00:00,1,,,"Специальная пошлина в отношении зерноуборочных комбайнов и модулей зерноуборочных комбайнов, ввозимых на единую таможенную территорию Таможенного союза кроме происходящих из развивающихся стран - пользователей системы тарифных преференций Таможенного союз",6,1.0,2040,,2013-07-25 16:27:18.437,,,,38.0
187073,122,1151695,2013-09-29 00:00:00.000,2016-09-28 00:00:00,1,,,"Специальная пошлина в отношении ввозимой на единую таможенную территорию ТС посуды столовой и кухонной из фарфора, кроме происходящей из равивающихся стран - пользователей системы тарифных преференций Таможенного союза, за исключением Китайской Народной Р",6,1.0,2040,,2013-09-30 09:41:06.187,,,,38.0
